DATA,COD_MOEDA,TIPO,MOEDA,TAXA_COMPRA,TAXA_VENDA,PARIDADE_COMPRA,PARIDADE_VENDA
07/11/2022,5,A,AFN,0.05753,0.05767,88.24,88.44
07/11/2022,9,A,ETB,0.09448,0.09617,52.9148,53.8503
07/11/2022,15,A,THB,0.136,0.1361,37.38,37.41
07/11/2022,20,A,PAB,5.088,5.0886,1.0,1.0
07/11/2022,27,A,VES,0.5798,0.5813,8.7533,8.7752
07/11/2022,30,A,BOB,0.7269,0.7429,6.85,7.0
07/11/2022,35,A,GHS,0.3449,0.3701,13.75,14.75
07/11/2022,40,A,CRC,0.008207,0.008274,615.0,620.0
07/11/2022,45,A,SVC,0.5808,0.5816,8.7498,8.7598
07/11/2022,51,A,NIO,0.1413,0.1414,35.99,36.0
07/11/2022,55,A,DKK,0.684,0.6841,7.4379,7.4386
07/11/2022,60,A,ISK,0.03484,0.03492,145.71,146.04
07/11/2022,65,A,NOK,0.4967,0.497,10.2388,10.2441
07/11/2022,70,A,SEK,0.4685,0.4687,10.8566,10.8596
07/11/2022,75,A,CZK,0.2092,0.2093,24.313,24.323
07/11/2022,90,A,GMD,0.07828,0.08342,61.0,65.0
07/11/2022,95,A,DZD,0.03616,0.03651,139.3797,140.6946
07/11/2022,100,A,KWD,16.4341,16.4414,0.3095,0.3096
07/11/2022,105,A,BHD,13.496,13.5012,0.3769,0.377
07/11/2022,115,A,IQD,0.003484,0.003489,1458.52,1460.52
07/11/2022,125,A,JOD,7.1662,7.1873,0.708,0.71
07/11/2022,130,A,LYD,1.0156,1.0203,4.9876,5.0099
07/11/2022,132,A,MKD,0.08234,0.08266,61.56,61.79
07/11/2022,133,A,RSD,0.04332,0.04345,117.12,117.46
07/11/2022,134,A,SDG,0.00895,0.009004,565.1502,568.4912
07/11/2022,135,A,TND,1.5855,1.5872,3.206,3.209
07/11/2022,136,A,SSP,0.008239,0.008403,605.5745,617.5745
07/11/2022,139,A,MAD,0.4658,0.4665,10.9091,10.9221
07/11/2022,145,A,AED,1.3851,1.3855,3.6727,3.6735
07/11/2022,149,A,STN,0.2035,0.2077,24.4975,25.0075
07/11/2022,155,A,BSD,5.088,5.0886,1.0,1.0
07/11/2022,160,A,BMD,5.088,5.0886,1.0,1.0
07/11/2022,165,A,CAD,3.7708,3.7724,1.3489,1.3493
07/11/2022,170,A,GYD,0.02418,0.02447,207.98,210.45
07/11/2022,173,A,NAD,0.2875,0.2876,17.691,17.696
07/11/2022,175,A,BBD,2.494,2.5467,1.9981,2.0401
07/11/2022,180,A,BZD,2.5025,2.5466,1.9982,2.0332
07/11/2022,185,A,BND,3.627,3.6288,1.4023,1.4028
07/11/2022,190,A,KYD,6.0934,6.168,0.825,0.835
07/11/2022,195,A,SGD,3.627,3.6288,1.4023,1.4028
07/11/2022,205,A,HKD,0.6482,0.6482,7.8498,7.8499
07/11/2022,210,A,TTD,0.7454,0.7541,6.7475,6.826
07/11/2022,215,A,XCD,1.8706,1.8847,2.7,2.72
07/11/2022,220,A,USD,5.088,5.0886,1.0,1.0
07/11/2022,230,A,JMD,0.03287,0.03346,152.1,154.8
07/11/2022,235,A,LRD,0.03283,0.03337,152.5,155.0
07/11/2022,255,A,SRD,0.1692,0.1734,29.34,30.07
07/11/2022,260,A,VND,0.0002046,0.0002046,24870.0,24874.0
07/11/2022,275,A,AMD,0.01272,0.01301,391.035,400.0
07/11/2022,295,A,CVE,0.04571,0.04616,110.25,111.3
07/11/2022,325,A,ANG,2.7956,2.8516,1.7845,1.82
07/11/2022,328,A,AWG,2.7652,2.8588,1.78,1.84
07/11/2022,345,A,HUF,0.0127,0.01272,400.15,400.49
07/11/2022,363,A,CDF,0.002423,0.002533,2009.0,2100.0
07/11/2022,365,A,BIF,0.002423,0.002498,2036.8,2100.0
07/11/2022,368,A,KMF,0.01007,0.01009,504.5,505.4
07/11/2022,370,A,XAF,0.007533,0.007731,658.18,675.43
07/11/2022,372,A,XOF,0.007663,0.007745,657.0,664.0
07/11/2022,380,A,XPF,0.04238,0.04276,119.0,120.05
07/11/2022,390,A,DJF,0.0285,0.02867,177.5,178.55
07/11/2022,398,A,GNF,0.0005858,0.0005951,8551.0,8685.0
07/11/2022,406,A,MGA,0.001183,0.001192,4269.0,4300.0
07/11/2022,420,A,RWF,0.004755,0.004771,1066.66,1070.0
07/11/2022,425,A,CHF,5.142,5.1431,0.9894,0.9895
07/11/2022,440,A,HTG,0.03797,0.03945,129.0,134.0
07/11/2022,450,A,PYG,0.0007095,0.0007101,7165.71,7170.96
07/11/2022,460,A,UAH,0.1378,0.1394,36.5,36.934
07/11/2022,470,A,JPY,0.03474,0.03475,146.44,146.47
07/11/2022,482,A,GEL,1.8468,1.8882,2.695,2.755
07/11/2022,490,A,ALL,0.04339,0.04375,116.3,117.25
07/11/2022,495,A,HNL,0.2052,0.2066,24.6325,24.8
07/11/2022,500,A,SLL,0.0002862,0.0002899,17555.0,17780.0
07/11/2022,503,A,MDL,0.2634,0.2648,19.22,19.32
07/11/2022,506,A,RON,1.0404,1.042,4.8833,4.8902
07/11/2022,510,A,BGN,2.6011,2.6027,1.9551,1.9561
07/11/2022,535,A,EGP,0.209,0.2095,24.29,24.35
07/11/2022,560,A,LBP,0.003351,0.00338,1505.5,1518.5
07/11/2022,575,A,SYP,0.002024,0.002027,2511.0,2514.0
07/11/2022,585,A,SZL,0.2875,0.2876,17.691,17.696
07/11/2022,603,A,LSL,0.2874,0.2878,17.6825,17.7025
07/11/2022,608,A,TMT,1.4537,1.4581,3.49,3.5
07/11/2022,622,A,MZN,0.07828,0.08046,63.24,65.0
07/11/2022,625,A,ERN,0.3358,0.3392,15.0,15.15
07/11/2022,630,A,NGN,0.01156,0.01158,439.26,440.26
07/11/2022,635,A,AOA,0.01038,0.0106,480.0,490.0
07/11/2022,640,A,TWD,0.1588,0.159,32.008,32.038
